Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2606/LB%20Series%200805%20%282012%20Metric%29.jpg,FIXED IND 10UH 150MA 360MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2488/Capacitor%200402%281005%29.jpg,FIXED IND 3.3NH 300MA 190MOHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 12NH 500MA 0.14OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2456/Capacitor%200603%281608%29.jpg,FIXED IND 5.6NH 300MA 300MOHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2488/Capacitor%200402%281005%29.jpg,FIXED IND 3.9NH 300MA 220MOHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2488/Capacitor%200402%281005%29.jpg,FIXED IND 6.8NH 250MA 320MOHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg,FIXED IND 22UH 220MA 1.25OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2488/Capacitor%200402%281005%29.jpg,FIXED IND 2.2NH 300MA 160MOHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/840/LQP03TN-0201-%280603-Metric%29.jpg,FIXED IND 22NH 150MA 1.9 OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/632/0603-MLZ.jpg,FIXED IND 10UH 300MA 600MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/632/0603-MLZ.jpg,FIXED IND 10UH 250MA 1.05OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/813/LQG15H-0402%281005Metric%29.jpg,FIXED IND 120NH 200MA 1.3OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/813/LQG15H-0402%281005Metric%29.jpg,FIXED IND 10NH 500MA 0.19OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg,FIXED IND 1UH 800MA 100 MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2488/Capacitor%200402%281005%29.jpg,FIXED IND 10NH 250MA 450MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2456/Capacitor%200603%281608%29.jpg,FIXED IND 220NH 300MA 2.8OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg,FIXED IND 10UH 350MA 470MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg,FIXED IND 6.8UH 550MA 250MOHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 33NH 260MA 0.63OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 56NH 200MA 1.17OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 100NH 120MA 2.52OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 22NH 310MA 0.3OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 120NH 110MA 2.66OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg,FIXED IND 2.2UH 600MA 160MOHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 10NH 500MA 0.17OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg,FIXED IND 10UH 500MA 300MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg,FIXED IND 15UH 250MA 950MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/813/LQG15H-0402%281005Metric%29.jpg,FIXED IND 15NH 450MA 0.32OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 6.2NH 700MA 0.09OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/813/LQG15H-0402%281005Metric%29.jpg,FIXED IND 27NH 350MA 0.46OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 15NH 460MA 0.16OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 27NH 280MA 0.52OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 2.5NH 850MA 0.05OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 6.2NH 700MA 0.09OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 6.8NH 700MA 0.09OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 11NH 500MA 0.14OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 15NH 460MA 0.16OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 10NH 500MA 0.17OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 12NH 500MA 0.14OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 27NH 280MA 0.52OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 3.9NH 750MA 0.07OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/754/1207-%283218-Metric%29-2%2C00mm.jpg,FIXED IND 1UH 1.075A 60 MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 3.9NH 750MA 0.07OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 2.7NH 850MA 0.05OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 7.5NH 570MA 0.13OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 4.7NH 750MA 0.07OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 18NH 370MA 0.27OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 47NH 210MA 1.08OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/754/1207-%283218-Metric%29-2%2C00mm.jpg,FIXED IND 47UH 205MA 920MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 6.8NH 700MA 0.09OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 15NH 460MA 0.16OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/587_1210-%283225-Metric%29-2%2C70mm.jpg,FIXED IND 10UH 540MA 133MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 3.3NH 900MA 0.04OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/22/LQP03-Series.jpg,FIXED IND 2.6NH 600MA 120MOHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/22/LQP03-Series.jpg,FIXED IND 4.7NH 400MA 250MOHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 2.2NH 1A 0.027OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 5.6NH 800MA 0.051OHM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/632/0603-MLZ.jpg,FIXED IND 10UH 250MA 1.05OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2326/0806-%282016-Metric%29-2%2C00x1%2C60x%2C80mm.jpg,FIXED IND 1UH 2.8A 57 MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/609/0603%28LQG18%29.jpg,FIXED IND 6.8NH 800MA 0.2OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/587_0603-%281608-Metric%29-0%2C95mm.jpg,FIXED IND 10UH 80MA 360 MOHM SMD
"//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/587_0805-(2012-Metric)-1,45mm.jpg",FIXED IND 10UH 520MA 650MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2278/0805-%282012-Metric%29-2%2C00x1.25x%2C80mm.jpg,FIXED IND 470NH 3.6A 31MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2587/MB%20series.jpg,FIXED IND 4.7UH 600MA 615MOHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2922/MCOIL%2C%20MA%20Series.jpg,FIXED IND 4.7UH 1A 380 MOHM SMD
"//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/587_0805-(2012-Metric)-1,45mm.jpg",FIXED IND 1UH 840MA 247 MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2922/MCOIL%2C%20MA%20Series.jpg,FIXED IND 4.7UH 1.3A 260MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2922/MCOIL%2C%20MA%20Series.jpg,FIXED IND 3.3UH 1.7A 156MOHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 36NH 540MA 0.431OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 3.3NH 2A 0.03OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 5.6NH 1.77A 0.04OHM SM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 6.8NH 1.45A 0.068OHM
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 18NH 1.05A 0.13OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 3NH 1.35A 0.063OHM SMD
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,FIXED IND 3.6NH 1.95A 0.03OHM SM
