Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/722/LTS-4802BJR-H1%2CLTS-4802BJF-H1%2CLTS-4802BJS-H1.jpg,"DISPLAY 7SEG 0.39"" SGL RED 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1015/LSHD-5601.jpg,"DISPLAY 7SEG 0.56"" SGL GRN 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3629/Inolux-INND-SSxxRxx.JPG,"DISPLAY 7-SEG 0.3"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/890/LSHD-7501%2CLSHD-7503.jpg,"DISPLAY 7-SEG 0.3"" SGL RED 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4819/SA56-11EWA.jpg,"DISPLAY 7SEG 0.56"" SGL RED 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/533/LTD-6940HR.jpg,"DISPLAY 7SEG 0.56"" DBL RED 18DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/413/VDMR10C0.jpg,"DISPLAY 7SEG 0.39"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4819/SA56-11GWA.jpg,"DISPLAY 7SEG 0.56"" SGL GRN 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/995/SC56-11EWA.JPG,"DISPLAY 7SEG 0.56"" SGL RED 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/532/SA56-21SRWA.jpg,"DISPLAY 7SEG 0.56"" SGL RED 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4292/MFG_SS511SURWA_S530-A3_S290.jpg,"DISPLAY 7SEG 0.56"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/412/SA43-11EWA.JPG,"DISPLAY 7SEG 0.43"" SGL RED 14DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1111/LTD-4608JR%2CLTD-4608JS%2CLTD-4608JF%2CLTD-4708JS%2CLTD-4708JF%2CLTD-4708JR.jpg,"DISPLAY 7SEG 0.39"" DBL RED 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4819/SC56-11GWA.jpg,"DISPLAY 7SEG 0.56"" SGL GRN 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3780/MFG_XDMDK14A.jpg,"DISPLAY 7SEG 0.56"" SGL RED 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/532/SA56-21SRWA.jpg,"DISPLAY 7SEG 0.56"" SGL GRN 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4819/SA04-11EWA.jpg,"DISPLAY 7-SEG 0.4"" SGL RED 14DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/SA56-11SURKWA.jpg,"DISPLAY 7SEG 0.56"" SGL RED 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2796/MFG_SA43-11SURKWA.jpg,".43"" RED LED DISPLAY"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2610/LDD-A512%2CA513%2CA514%2CA516%2CC512%2CC513%2CC514%2CC516%20RI%20SERIES.jpg,"DISPLAY 7SEG 0.56"" DBL RED 18DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1097/HDSP-521E.jpg,"DISPLAY 7SEG 0.56"" DBL RED 18DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1008/HDSP-5523.JPG,"DISPLAY 7SEG 0.56"" DBL RED 18DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2977/LDS-A812%2CA813%2CA814%2CA816%2CC812%2CC813%2CC814%2CC816%20RI%20SERIES.jpg,"DISPLAY 7-SEG 0.8"" SGL RED 16DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4165/MFG_XZFMDK14A.jpg,"DISPLAY 7SEG 0.56"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4248/MFG_XZFMDK07A.jpg,"DISPLAY 7-SEG 0.3"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3750/MFG_XDCBD14A.jpg,"DISPLAY 7SEG 0.56"" SGL BLU 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4190/MFG_XZFMDK07C.jpg,"DISPLAY 7-SEG 0.3"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/599/ACSC02-41SURKWA-F01.jpg,"DISPLAY 7-SEG 0.2"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/517/ACSC03-41SURKWA-F01.jpg,"DISPLAY 7-SEG 0.3"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/599/ACSA02-41SURKWA-F01.jpg,"DISPLAY 7-SEG 0.2"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4099/MFG_ACSX03-41.jpg,"DISPLAY 7SEG 0.3"" SGL GRN 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4329/ACSA03-41EWA-F01.jpg,"DISPLAY 7-SEG 0.3"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/599/ACSA02-41SGWA-F01.jpg,"DISPLAY 7SEG 0.2"" SGL GRN 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2578/MFG_ACSA04%20SERIES%20and%20ACSC04%20SERIES.jpg,"DISPLAY 7-SEG 0.4"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/819/MFG_ACSA56-SERIES-and-ACSC56-SERIES.jpg,"DISPLAY 7SEG 0.56"" SGL GRN 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4320/ACSA56-41SURKWA-F01.jpg,"DISPLAY 7SEG 0.56"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/819/MFG_ACSA56-SERIES-and-ACSC56-SERIES.jpg,"DISPLAY 7SEG 0.56"" SGL RED 10SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/SA08-11SURKWA.jpg,"DISPLAY 7-SEG 0.8"" SGL RED 16DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2339/HDSP-Fxxx%28red%29.jpg,"DISPLAY 7-SEG 0.4"" SGL RED 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4056/HDSM-281C.jpg,"DISPLAY 7SEG 0.28"" SGL RED 12SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/884/LTC-4624JR%2CLTC-4624JF%2CLTC-4724JR%2CLTC-4724JF%2CLTC-4624JS%2CLTC-4724JS%2CBACK.jpg,"DISPLAY 7SEG 0.39"" TRP RED 15DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/884/LTC-4624JR%2CLTC-4624JF%2CLTC-4724JR%2CLTC-4724JF%2CLTC-4624JS%2CLTC-4724JS%2CBACK.jpg,"DISPLAY 7SEG 0.39"" TRP RED 16DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/951/LDT-N2804RI.JPG,"DISPLAY 7SEG 0.28"" TRP RED 12DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2235/HDSP-301E.JPG,"DISPLAY 7-SEG 0.3"" SGL RED 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/729/HDSP-5501.JPG,"DISPLAY 7SEG 0.56"" SGL RED 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/501/LDD-SMHTA304RISITR.JPG,"DISPLAY 7-SEG 0.3"" DBL RED 20SMD"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/981/HDSP-H103%2CHDSP-5503.jpg,"DISPLAY 7SEG 0.56"" SGL RED 10DIP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2339/HDSP-Fxxx%28red%29.jpg,"DISPLAY 7SEG 0.4"" SGL GRN 10DIP"
