Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/CD%2015%20SERIES.jpg,CAP MICA 500PF 5% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/CD%2015%20SERIES.jpg,CAP MICA 15PF 5% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/CD%2015%20SERIES.jpg,CAP MICA 22PF 5% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2384/CD%2016%20SERIES.jpg,CAP MICA 1000PF 5% 1KV RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/922/CDV16F.jpg,CAP MICA 430PF 5% 1KV RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/CD%2015%20SERIES.jpg,CAP MICA 100PF 1% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/895/338-2220%285750%29.jpg,CAP MICA 1000PF 5% 500V 2220
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/CD%2015%20SERIES.jpg,CAP MICA 220PF 1% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/895/338-2220%285750%29.jpg,CAP MICA 1000PF 5% 1KV 2220
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/922/CDV16F.jpg,CAP MICA 1000PF 5% 1KV RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/895/338-2220%285750%29.jpg,CAP MICA 1000PF 5% 1KV 2220
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/895/338-2220%285750%29.jpg,CAP MICA 1500PF 5% 1KV 2220
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/945/CD19FD182FO3F.jpg,CAP MICA 1000PF 5% 1KV RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/945/CD19FD182FO3F.jpg,CAP MICA 3900PF 5% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/945/CD19FD182FO3F.jpg,CAP MICA 3600PF 5% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/945/CD19FD182FO3F.jpg,CAP MICA 2200PF 5% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/895/338-2220%285750%29.jpg,CAP MICA 1500PF 5% 1KV 2220
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/945/CD19FD182FO3F.jpg,CAP MICA 4700PF 1% 500V RADIAL
