Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/27/10314.jpg,"PLIERS ELEC NEEDLE NOSE 5.75"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3637/MFG_L4GN.jpg,"PLIERS ELEC NEEDLE NOSE 4"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/460/MFG_86-03-125.jpg,MINI PLIERS WRENCH
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/460/MFG_86-03-180.jpg,PLIERS WRENCH
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4838/S923E.jpg,PLIER LONG NOSE MIDSIZE
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/460/MFG_00-20-06-US2.jpg,"3 PC PLIERS WRENCH SET 7,10&12"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/54/MFG_TT-200.jpg,EXTENDED REACH LOCKING PLIERS
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5003/MFG_TT-275_primary.jpg,"8"" LONG NOSE PLIERS"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5013/MFG_TT-260_primary.jpg,"CROSSJAW 13"" LONG NEEDLE NOSE PL"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5055/MFG_TT-270_primary.jpg,"8"" LINESMAN PLIERS WITH FISH TAP"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5024/MFG_TT-280_primary.jpg,"10"" WATER PUMP PLIERS"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5059/MFG_TT-290_primary.jpg,"TT-290 6-IN-1, 8.5"" LONG NOSE MU"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3503/MFG_L4VN.jpg,PLIERS ELEC NEEDLE NOSE
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/203/NN542N.jpg,"PLIERS ELEC NEEDLE NOSE 5"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1092/10600A.jpg,PLIERS SET ASSORTED ASSORTED 6PC
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/460/MFG_00-19-55-S5.jpg,PLIER COBRA SET - 5 PIECE
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/460/MFG_00-20-17.jpg,6 PC ESD TOOL SET IN ZIP POUCH
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/460/MFG_00-20-16-P-ESD.jpg,6 PC ESD TOOL SET IN ZIP POUCH
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3680/2002220710.jpg,LONG NOSE PLIERS
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2248/MFG_BLONGNOSE.jpg,"PLIERS STANDARD LONG NOSE 6.88"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1283/10953.jpg,"PLIERS ELEC NEEDLE NOSE 6"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/211/MFG_TLXURON485.jpg,485 LONG NOSE PLIER
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/27/10303.jpg,"PLIERS ELEC FLAT NOSE 4.5"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/27/10304.jpg,"PLIERS ELEC FLAT NOSE 5"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/27/10311.jpg,"PLIERS ELEC CHAIN NOSE 5"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/27/10305.jpg,"PLIERS ELEC ROUND NOSE 4.5"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/27/10308.jpg,"PLIERS ELEC CHAIN NOSE 5"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/531/10310.JPG,"PLIERS ELEC BENT NOSE 4.5"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/27/10311S.jpg,"PLIERS ELEC CHAIN NOSE 5"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/27/10301.jpg,"PLIERS ELEC CHAIN NOSE 4.5"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/27/10306.jpg,"PLIERS ELEC ROUND NOSE 5"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/27/10315.jpg,"PLIERS LONG NOSE 4.75"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/606/10313.JPG,"PLIERS ELEC BENT NOSE 6"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1005/10307.jpg,"PLIERS ELEC CHAIN NOSE 4.5"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1079/10335.jpg,"PLIERS ELEC FLAT NOSE 6"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/836/10334.jpg,"PLIERS ELEC ROUND NOSE 6"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/507/MFG_PA1180.jpg,PLIERS NEEDLE NOSE
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/465/MFG_TLXURON485FN.jpg,XURON 485FN FLAT NOSE PLIER
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/211/MFG_TLXURON450.jpg,450 TWEEZER NOSE PLIERS
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/210/MFG_TLXURON450S.jpg,450S ULTRA-PRECISE TWEEZER-NOSE
