Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/23/RA1113112R.jpg,SWITCH ROCKER SPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2521/GRS-201%202%20PIN%20SERIES.jpg,SWITCH ROCKER SPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1007/GRS-4011-1600.jpg,SWITCH ROCKER SPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1163/GRS-4012-1600.jpg,SWITCH ROCKER SPDT 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/141_RR511D1121.jpg,SWITCH ROCKER SPST 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/584/cre22f4dbbne.JPG,SWITCH ROCKER SPST 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1061/SRB22A2FBBNN.jpg,SWITCH ROCKER SPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1116/R1966ABLKBLKFF.jpg,SWITCH ROCKER SPST 15A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/868/CRE22F2FBBNE.jpg,SWITCH ROCKER SPST 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1050/CRE22F4BBBNE.jpg,SWITCH ROCKER SPST 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/939/LRA32H2FBBNN.jpg,SWITCH ROCKER DPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/933/PRK22J5DBBNN.jpg,SWITCH ROCKER SPST 6A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2444/GRS-4013A-1300%2C%20GRS-4013C-0001.jpg,SWITCH ROCKER SPDT 8A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/730/GRS-4022-0013.jpg,SWITCH ROCKER DPDT 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1034/R1966ABLKBLKGR.jpg,SWITCH ROCKER SPST 15A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/818/R6ABLKBLKFF.jpg,SWITCH ROCKER SPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/736/R4GBLKBLKEF0.jpg,SWITCH ROCKER SPDT 15A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1104/GRS-4023C-1300.jpg,SWITCH ROCKER DPDT 13A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/793/R5ABLKBLKFF0.jpg,SWITCH ROCKER DPST 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2471/CHERRY%20SWITCH-CRE22F2BBRLE.jpg,SWITCH ROCKER SPST 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2427/DA102J12S215PQF%2C%20SA102J21S215PQF.jpg,SWITCH ROCKER SPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1123/WRG32F2FBBNN.jpg,SWITCH ROCKER DPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/591/RRA16C1100.jpg,SWITCH ROCKER DPDT 15A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/587/KRE2ALA2RBB.JPG,SWITCH ROCKER SPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/630/R13112ABB-602AW.JPG,SWITCH ROCKER SPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/708/400MSP1R6BLKM6QE.jpg,SWITCH ROCKER SPDT 3A 120V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/331/MFG_471002268142.jpg,SWITCH ROCKER SPST 10A 250V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/585/kre2ana1bbd.JPG,SWITCH ROCKER SPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/869/CR102J23S215QF.jpg,SWITCH ROCKER SPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2977/RR3130A%20.jpg,SWITCH ROCKER SPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2310/R5GBLKBLKHF0.JPG,SWITCH ROCKER DPDT 15A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2583/R5BBLKREDFF1%2C%20R5BBLKREDFF3.jpg,SWITCH ROCKER DPST 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2946/RB242D1021-117%5EACC-F02-1.JPG,SWITCH ROCKER DPST 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1084/C1350ALAAF.jpg,SWITCH ROCKER DPST-NO 20A 250V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1105/A8L-21-12N2.jpg,SWITCH ROCKER DPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/639/GRB112A802BB.jpg,SWITCH ROCKER SPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/972/300SP1J1BLKM6QE.jpg,SWITCH ROCKER SPDT 5A 120V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/639/GRB066B802BR1.jpg,SWITCH ROCKER SPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1056/300SP1J1BLKM7QE.jpg,SWITCH ROCKER SPDT 5A 120V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/631/GRB112D802BB.jpg,SWITCH ROCKER SPDT 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/639/GRB112B802BR1.jpg,SWITCH ROCKER SPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/828/300AWSP1J1M6QE.jpg,SWITCH ROCKER SPDT 5A 120V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1098/RR3130B.jpg,SWITCH ROCKER DPDT 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2144/D502J12S2AHQA.JPG,SWITCH ROCKER SPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/378/C1300AABB-602AW.JPG,SWITCH ROCKER SPST 20A 250V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/530/C1300ARBB-602AW.JPG,SWITCH ROCKER SPST 20A 250V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1024/CM107J12S205QA.jpg,SWITCH ROCKER SPDT 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/501/V1D1B60B-CMC00-000.JPG,SWITCH ROCKER SPST 20A 12V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/599/RVW42D1123.jpg,SWITCH ROCKER DPST 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1029/PRCSA1-20F-BB0CW.JPG,SWITCH ROCKER SPST 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2399/400BWMSP%20SERIES.jpg,SWITCH ROCKER SPDT 3A 120V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/609/H8550VBBB-551W.JPG,SWITCH ROCKER DPST 15A 250V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4819/WB242D1121.jpg,SWITCH ROCKER DPST 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/581/RBW2ABLKBLKFF0.jpg,SWITCH ROCKER DPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/663/C1350AABB-602.JPG,SWITCH ROCKER DPST-NO 20A 250V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2614/C1350ALBB-602AW.jpg,SWITCH ROCKER DPST-NO 20A 250V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/599/RVW46D1100.jpg,SWITCH ROCKER DPDT 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2590/JWMW11RA1A%2C%20JWM11RA1A.jpg,SWITCH ROCKER SPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/500/R716FB1-SXXXNBDNNX.JPG,SWITCH ROCKER SPDT 16A 30V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/639/GRB260K101BBNN.jpg,SWITCH ROCKER DPDT 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1028/DM62J12S205PQ.jpg,SWITCH ROCKER DPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/598/df62j12s215qa.JPG,SWITCH ROCKER DPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2587/JWMW11RA2A%2C%20JWM11RA2A.jpg,SWITCH ROCKER SPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2097/DF62J12S215PQA.JPG,SWITCH ROCKER DPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1154/JWL21RA2A.jpg,SWITCH ROCKER DPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/876/DF62J12S2AHQA.jpg,SWITCH ROCKER DPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2378/DM24J72S205Q4%2C%20DM24J72S205Q6%2C%20DM64J72S205Q6%2C%20DM64J72S205Q3.jpg,SWITCH ROCKER DPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/424/C1353ALBA3-602AW.jpg,SWITCH ROCKER DPST-NO 20A 250V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/632/GRB292A201BBNA2.jpg,SWITCH ROCKER SPST 10A 24V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/836/E101J1ABE2.jpg,SWITCH ROCKER SPDT 0.4VA 20V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/844/E101J1AQE2.jpg,SWITCH ROCKER SPDT 7.5A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/821/7101J1V3QE2.jpg,SWITCH ROCKER SPDT 5A 120V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/912/JWL11RA2A.jpg,SWITCH ROCKER SPST 16A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1055/E101J1AV2BE2.jpg,SWITCH ROCKER SPDT 0.4VA 20V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/500/R726FB1-SXXXNBBNNX.JPG,SWITCH ROCKER DPDT 20A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/501/TIGK51-6S-BL-NBL.JPG,SWITCH ROCKER DPST 15A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/538/TIGK721-6S-BL-NBLON-OFF.jpg,SWITCH ROCKER DPST 20A 277V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/501/W18D20001-AZZ00-000.JPG,SWITCH ROCKER SPDT 10A 12V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2585/TYCO%20ELECTRONICS%20ALCOSWITCH-%20TRD13D10WL04.jpg,SWITCH ROCKER SPDT 3A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/411/VLD2GHNB-AAC00-000.jpg,SWITCH ROCKER DPDT 20A 12V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/MFG_SW3821_RO.jpg,SWITCH ROCKER DPST 30A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/413/KR4xCAKXXG.jpg,SWITCH ROCKER DPDT 10A 24V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/600/MFG_SW3833-RO.jpg,SWITCH ROCKER 3PDT 30A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/580/MFG_GW12RCV.jpg,SWITCH ROCKER SPDT 0.4VA 28V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/901/JWMW21RA2A.jpg,SWITCH ROCKER DPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/385/JWMW11RAA.JPG,SWITCH ROCKER SPST 10A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/382/MFG_GW12LCP-RO.jpg,SWITCH ROCKER SPDT 0.4VA 28V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/630/C1350ARBB-602AW.JPG,SWITCH ROCKER DPST-NO 20A 250V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/533/JWS11BAAF-A.JPG,SWITCH ROCKER SPST 6A 125V
