Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1189/RM103772BCB.JPG,SWITCH ROTARY 3POS 500MA 24V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1179/RM104772BCB.JPG,SWITCH ROTARY 4POS 500MA 24V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/597/a10303rnzq.JPG,SWITCH ROTARY 3POS 2.5A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/810/KC43A30.001NPS.jpg,SWITCH ROTARY 3POS 350MA 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/876/A10505RNZQ.jpg,SWITCH ROTARY 5POS 2.5A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2190/A10603RNCQ.JPG,SWITCH ROTARY 6POS 2.5A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/597/A11215RNCQ.JPG,SWITCH ROTARY 12POS 2.5A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1086/A11205RNCQ.jpg,SWITCH ROTARY 12POS 2.5A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/414/A11203RNCQ.jpg,SWITCH ROTARY 12POS 2.5A 125V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2315/MFG_NR0110xANG13-2A.jpg,SWITCH ROTARY 5POS 0.4VA 28V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/502/MRK206-A.JPG,SWITCH ROTARY 2-6POS 0.4VA 28V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/MFG_MRB24B_RO.jpg,SWITCH ROTARY 3POS 0.4VA 28V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/23/MRB14B-A.JPG,SWITCH ROTARY 3POS 0.4VA 28V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6455/MFG_56D30-01-1-AJN.jpg,SWITCH ROTARY 2-12POS 200MA 115V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6455/MFG_56S36-01-2-03N.jpg,SWITCH ROTARY 2-10POS 200MA 115V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6455/MFG_56D30-01-1-AJN.jpg,SWITCH ROTARY 2-5POS 200MA 115V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4041/56SDP30-01-1-AJN.jpg,SWITCH ROTARY 2-12POS 200MA 115V
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/383/MFG_MRX108-A.jpg,SWITCH ROTARY 2-8POS 2A 125V
