Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/315/MMF402184.jpg,STRAIN GAUGE
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/315/MMF402103.jpg,C5K-06-S5198-350-33F
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/427/MMF404864.jpg,STRAIN GAUGE 350OHM LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/985/CEA-05-250UWA-350.jpg,STRAIN GAGE LINEAR 350OHM 5PK
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/330/MMF403929.JPG,STRAIN GAUGE GENERAL PURPOSE
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/310/MFG_C4A-125SL.jpg,STRAIN GAUGE 350 OHM LINEAR 10PC
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/310/MFG_C4A-235SL.jpg,STRAIN GAUGE 350 OHM LINEAR 10PC
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/310/MFG_C4A-125SL.jpg,STRAIN GAUGE 350 OHM LINEAR 10PC
https://www.digikey.com/products/en?keywords=MMF403924,STRAIN GAUGE GEN PURP 1=PK OF 5
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1307/CEA-06-187UV-350%28Package%29.JPG,STRAIN GAUGE 350 OHM SHEAR 1=5PC
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/315/MMF403112.jpg,C5K-13-S5198-350-33F
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/880/MMF404326.jpg,STRAIN GAUGE 350OHM LINEAR 1=5PC
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/315/MMF402062.jpg,C5K-06-S5198-350-39F
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/310/MFG_C4A-125SL.jpg,STRAIN GAUGE 120 OHM LINEAR 10PC
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/310/MFG_C4A-125SL.jpg,STRAIN GAUGE 350 OHM LINEAR 10PC
