Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2472/CF%201k.jpg,RES 1K OHM 5% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1206/MFR-25FRF52-10K.jpg,RES 10K OHM 1% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4844/738_JW%20series.JPG,RES 0 OHM JUMPER AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2376/CF%201m.jpg,RES 1M OHM 5% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2595/RNF-10KOhm1%25.jpg,RES 10K OHM 1% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2603/RNF-1KOhm1%25.jpg,RES 1K OHM 1% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6374/10k-Ohm-5%25-CF-Axial.jpg,RES 10K OHM 5% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2466/CF%2010k.jpg,RES 10K OHM 5% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/389/ZOR.jpg,RES 0 OHM JUMPER 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2408/1k-Ohm-5%25-ROX%2C-Neohm.jpg,RES 1K OHM 5% 3W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2447/33k-Ohm-5%25-ROX%2C-Neohm.jpg,RES 33K OHM 5% 3W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2495/100-Ohm-5%25-Axial-red-coating.jpg,RES 100 OHM 5% 2W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2457/100k-Ohm-5%25-Axial-red-coating.jpg,RES 100K OHM 5% 2W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2476/68K-Ohm-5%25-Axial-red-coating.jpg,RES 68K OHM 5% 2W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2451/100-Ohm-Axial-PNP-5%25.jpg,RES 100 OHM 5% 3W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2477/10-Ohm-Axial-PNP-5%25.jpg,RES 10 OHM 5% 3W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2590/YR%2C%20Neohm%20Series%201m.jpg,RES 1M OHM 0.1% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2586/YR%2C%20Neohm%20Series%2020.jpg,RES 20 OHM 0.1% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2430/0%2C1-Ohm-Axial-PNP-5%25.jpg,RES 0.1 OHM 5% 3W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2500/FWxxA%2010.jpg,RES 10 OHM 5% 2W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2455/10k-Ohm-Axial-0%2C1%25-MFP.jpg,RES 10K OHM 0.1% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2426/100k-Ohm-Axial-0%2C1%25-MFP.jpg,RES 100K OHM 0.1% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2968/RNF14%20100k.jpg,RES 100K OHM 0.1% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2579/YR%2C%20Neohm%20Series%2010k.jpg,RES 10K OHM 0.1% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/869/ACAT-Series.jpg,RES 100 OHM 3W 5% AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2613/3-5-7-10-Watt-TWM-SERIES.jpg,RES 330 OHM 5% 5W RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2580/YR%2C%20Neohm%20Series%201k.jpg,RES 1K OHM 0.1% 1/4W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5583/1g-Ohm-5%25-Axial-Teal-Field.jpg,RES 1 GOHM 5% 1.2W AXIAL
