Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/493/MFG_404070001.jpg,"TWEEZERS POINTED FINE 12 5.32"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1027/EROP3C-SA.jpg,"TWEEZER POINTED VERY FINE 4.25"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/911/EROP7SA.jpg,"TWEEZER POINTED MICRO 4.50"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/MFG_431_44501.jpg,"TWEEZER POINTED FINE AA 5.12"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/964/18475USA.JPG,TWEEZER ASSORT AA OO OOD 3C 5 7
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/796/18480EZ.jpg,TWEEZER ASSORT 2A 3C OO AA 5 7
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/306/E7SA.jpg,"TWEEZER POINTED VERY FINE 5.00"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1903/MFG_E5SA.jpg,"TWEEZER POINTED VERY FINE 4.75"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/MFG_2827_00-SA.jpg,TWEEZERS - STRAIGHT STRONG MEDIU
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1067/MFG_M-5-SA.jpg,TWEEZERS - STRAIGHT TAPERED ULTR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/864/MFG_M-3-S.jpg,TWEEZERS - STRAIGHT VERY FINE PO
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/991/MFG_18114ACU.jpg,"TWEEZER END CUTTER 15AGW 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/831/MFG_15A-RW.jpg,TWEEZERS - CUTTING - ANGULATED -
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/MFG_1528_422.jpg,"TWEEZERS POINTED FINE 4.72"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/696/MFG_709.CF.jpg,"PLASTIC TWEEZERS CF 4.53"",709"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/696/MFG_702A.CF.jpg,"PLASTIC TWEEZERS CF 4.53"",702A"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/696/MFG_707.CF.jpg,"PLASTIC TWEEZERS CF 4.53"",707"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2550/MFG_TOL-10603.jpg,"TWEEZERS POINTED VERY FINE 4.72"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1163/EROPAASA.jpg,"TWEEZER POINTED STRONG 5.00"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2537/EROP3SA.jpg,"TWEEZER POINTED VERY FINE 4.75"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1903/MFG_EROPOODSA.jpg,"TWEEZER POINTED MEDIUM 4.75"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/738/MFG_2A.SA.B.jpg,"ECONOMY TWEEZERS 4.72"",2A"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1128/18072USA.jpg,"TWEEZER POINT ULTRA FINE 7 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1845/18053USA.jpg,"TWEEZER POINT ULTRA FINE 3 4.72"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1135/18059USA.jpg,"TWEEZER PNT RND ULTRA FINE 4.33"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/930/18072ez.jpg,"TWEEZER SUPER FINE 7 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1132/MFG_7-SA-SE.jpg,TWEEZERS - CURVED VERY FINE POIN
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/961/MFG_00-SA-SE.jpg,TWEEZERS - STRAIGHT STRONG MEDIU
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1079/18430.jpg,"TWEEZER 8.07"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/208/T5508W-SA.JPG,QUICK CHANGE WAFER HANDLING TWEE
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/500/15AGS.JPG,"TWEEZER END CUTTER FINE 4.25"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3184/MFG_0.jpg,TWEEZERS - STRAIGHT STRONG POINT
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4204/MFG_162B-RT.jpg,TWEEZERS - REPLACEABLE TIP - STR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/59/5UFCPR.SA.1.ITU.jpg,"ESD CP REPL TWEEZER 5.1"",5UF"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/MFG_2827_5.jpg,TWEEZERS - STRAIGHT TAPERED ULTR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4225/MFG_891-SA.jpg,"TWEEZERS - FOR 8"" WAFERS - FINGE"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/MFG_431_44510.jpg,"TWEEZER POINT FINE ROUND 4.72"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/56/MFG_1315-SA.jpg,QUICK CHANGE SOFT TIP TWEEZERS
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/MFG_2827_3C-SA.jpg,TWEEZERS - STRAIGHT VERY FINE PO
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/726/MFG_159-RT.jpg,TWEEZERS - REPLACEABLE TIP - STR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/734/MFG_E3CSA.jpg,"TWEEZER POINTED FINE 4.50"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/944/MFG_2A-SA-ET.jpg,TWEEZERS - STRAIGHT TAPERED FLAT
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/MFG_2827_5-SA.jpg,TWEEZERS - STRAIGHT TAPERED ULTR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3201/MFG_15A-GW-S.jpg,TWEEZERS - CUTTING - ANGULATED -
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/333/MFG_44593.jpg,"ESD SAFE TWEEZERS SET, 10 PIECE."
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1288/18517.jpg,"TWEEZER POINTED FINE 2C 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1249/18523.jpg,"TWEEZER POINT VERY FINE P7 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1177/18529.jpg,"TWEEZER FLAT 35A 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1300/18514.jpg,"TWEEZER ROUNDED 2AB 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4139/MFG_2A-ESD.jpg,TWEEZERS - STRAIGHT TAPERED FLAT
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4391/MFG_3C-ESD.jpg,TWEEZERS - 2 STAR STRAIGHT VERY
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3612/MFG_35A-ESD.jpg,TWEEZERS - STRAIGHT FLAT POINT -
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4452/MFG_609-ESD.jpg,TWEEZERS - PLASTIC  - STRAIGHT .
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/696/MFG_705.CF.jpg,"PLASTIC TWEEZERS CF 4.53"",705"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/696/MFG_707A.CF.jpg,"PLASTIC TWEEZERS CF 4.53"",707A"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2162/MFG_TOL-10602.jpg,"TWEEZERS POINTED VERY FINE 4.72"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2535/MFG_TOL-12572.jpg,TWEEZER CURVED FINE
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2521/MFG_TOL-12573.jpg,TWEEZER STRAIGHT VERY FINE
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1085/18481.jpg,"TWEEZER POINTED 4.33"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1039/18423.jpg,"TWEEZER POINTED 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1122/18490.jpg,"TWEEZER POINTED BLUNT 5.71"""
