Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4416/MFG_DH-20M5005x.jpg,CABLE USB AM TO MICRO 2.0 0.49'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4566/MFG_DH-20Mseries.jpg,"USB AM TO USB C, USB 2.0 - 150MM"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4416/MFG_DH-20M5005x.jpg,"USB AM TO USB MICRO, USB 2.0 - 1"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4566/MFG_DH-20Mseries.jpg,"USB AM TO USB C, USB 2.0 - 1 MET"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3927/MFG_3021011-06.jpg,CBL USB2.0 A PLUG TO OPEN 3'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4416/MFG_DH-20M5005x.jpg,"USB AM TO USB MICRO, USB 2.0 - 2"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4566/MFG_DH-20Mseries.jpg,"USB AM TO USB C, USB 2.0 - 2 MET"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2514/AK672M%20-%20FIG%2039.jpg,CBL USB2.0 A PLG-MIN B PLG 3.28'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/416/MFG_AK670_2_BLACK-R.jpg,CBL USB2.0 A PLUG TO A PLG 3.28'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4844/MFG_1528_1099.jpg,USB A RCPT TO MICRO B ON-THE-GO
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4060/MFG_3025033-01.jpg,CBL USB2.0 A PLUG-MCR B PLUG 1'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/736/MFG_AMale-toMicroBMale_Blk.jpg,CBL USB2.0 A PLUG-MCR B PLUG 3'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4002/MFG_3021013-10.jpg,CBL USB2.0 A PLUG TO B PLUG 3'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/736/MFG_AMale-toMicroBMale_Blk.jpg,CBL USB2.0 A PLUG-MCR B PLUG 1'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/MFG_CAB-15464.jpg,CBL MCR B RCPT-MCR B PLUG 0.5'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4013/MFG_3021003-03.jpg,CBL USB2.0 A PLUG-MIN B PLUG 3'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/422/MFG_4472.jpg,CABLE A PLUG TO C PLUG 0.5'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1089/MFG_106990248.jpg,CABLE A PLUG TO C PLUG 3.28'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/666/3025010-03.jpg,CABLE A PLUG TO MCR B PLUG 3'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/416/MFG_AK672_BLK.jpg,CBL USB2.0 A PLUG TO B PLG 6.56'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/736/MFG_AMale-toMicroBMale_Blk.jpg,CBL USB2.0 A PLUG-MCR B PLUG 6'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4019/MFG_3021056-01M.jpg,CBL USB2.0 A RCPT TO A PLG 3.28'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/722/MFG_CBL-UA-MUB-1.jpg,CBL USB2.0 A PLG-MCR B PLG 3.28'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/57/MFG_A-USB31C-20A-050A.jpg,CBL USB2.0 A PLUG TO C PLG 1.64'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/305/CA-USB-AM-CM.JPG,CBL USB2.0 A PLUG TO C PLUG 3'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2138/302503x.jpg,CBL USB2.0 A PLUG-MCR B PLUG 3'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2640/MFG_CBL-UA-MUB_Black.jpg,CBL USB2.0 A PLG-MCR B PLG 1.64'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4199/MFG_CBL-UA-UA_Black.jpg,CBL USB2.0 A PLUG TO A PLG 1.64'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/798/88732-8602.jpg,USB A TO MINI B ON-THE-GO 1.5M
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2514/AK672M%20-%20FIG%2039.jpg,CBL USB2.0 A PLG-MIN B PLG 6.56'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/305/CA-USB-AM-CM.JPG,CBL USB2.0 A PLUG TO C PLUG 1'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4307/MFG_CBL-UA-UB_Black.jpg,CBL USB2.0 A PLUG TO B PLG 1.64'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/416/MFG_AK669_BLK.jpg,CBL USB2.0 A RCPT TO A PLUG 5.9'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/645/AK669%5E2-18-R.JPG,CBL USB2.0 A RCPT TO A PLUG 5.9'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/528/102-1031-BL-F0x00.jpg,CBL USB2.0 A PLG-MIN B PLG 1.64'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/520/102-1031-BL.jpg,CBL USB2.0 A PLG-MIN B PLG 6.56'
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2514/AK672M%20-%20FIG%2039.jpg,CBL USB1.1 A PLG-MIN B PLG 6.56'
